event;description;area;relativeDistanceSet
exhibition1;Stand 1;37;{(Stand 2,9),(Stand 3,7),(Stand 4,12)}
exhibition1;Stand 2;103;{(Stand 7,18),(Stand 5,10),(Stand 3,5)}
exhibition1;Stand 3;59;{(Stand 4,7),(Stand 5,9),(Stand 6,13)}
exhibition1;Stand 4;60;{(Stand 6,10),(Stand 8,20)}
exhibition1;Stand 5;103;{(Stand 6,12),(Stand 7,6),(Stand 9,18)}
exhibition1;Stand 6;32;{(Stand 8,8),(Stand 9,20)}
exhibition1;Stand 7;44;{(Stand 8,16),(Stand 9,17)}
exhibition1;Stand 8;117;{(Stand 9,15)}
exhibition1;Stand 9;34
exhibition1;Stand 10;102
exhibition1;Stand 11;40
exhibition1;Stand 12;17
exhibition1;Stand 13;67
exhibition1;Stand 14;27
exhibition1;Stand 15;52
exhibition1;Stand 16;43
exhibition1;Stand 17;125
exhibition1;Stand 18;108
exhibition1;Stand 19;15
exhibition1;Stand 20;13
